ts_utc,iters_per_sec
2026-02-24T16:13:39+00:00,1128.0270
2026-02-24T16:13:40+00:00,616.1569
2026-02-24T16:13:41+00:00,613.5892
2026-02-24T16:13:42+00:00,611.6754
2026-02-24T16:13:43+00:00,617.8705
2026-02-24T16:13:44+00:00,618.8578
2026-02-24T16:13:45+00:00,617.5858
2026-02-24T16:13:46+00:00,615.8243
2026-02-24T16:13:47+00:00,615.6652
2026-02-24T16:13:48+00:00,615.9473
2026-02-24T16:13:49+00:00,615.3228
2026-02-24T16:13:50+00:00,617.0667
2026-02-24T16:13:51+00:00,616.5352
2026-02-24T16:13:52+00:00,616.5450
2026-02-24T16:13:53+00:00,616.8238
2026-02-24T16:13:54+00:00,614.4938
2026-02-24T16:13:55+00:00,616.3983
2026-02-24T16:13:56+00:00,616.4644
2026-02-24T16:13:57+00:00,614.7334
